LINTCL更新日期,#genre#
福建公共,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227153/index.m3u8
福建新闻,http://27.148.240.185/PLTV/88888888/224/3221226736/1.m3u8
福建新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227180/index.m3u8
福建电视剧,http://27.148.240.185/PLTV/88888888/224/3221226732/1.m3u8
福建电视剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227079/index.m3u8
福建旅游,http://27.148.240.185/PLTV/88888888/224/3221226854/1.m3u8
福建旅游,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227190/index.m3u8
福建经济,http://27.148.240.185/PLTV/88888888/224/3221226920/1.m3u8
福建经济,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227184/index.m3u8
福建教育,http://27.148.240.185/PLTV/88888888/224/3221226884/1.m3u8
福建教育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227202/index.m3u8
福建少儿,http://27.148.240.185/PLTV/88888888/224/3221226738/1.m3u8
福建少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227194/index.m3u8
海峡卫视,http://27.148.240.185/PLTV/88888888/224/3221226748/1.m3u8
海峡卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227198/index.m3u8
东南卫视,http://27.148.240.185/PLTV/88888888/224/3221226754/1.m3u8
东南卫视,http://27.148.240.185/PLTV/88888888/224/3221226835/1.m3u8
东南卫视,http://27.148.240.185/PLTV/88888888/224/3221227363/1.m3u8
厦门卫视,http://27.148.240.185/PLTV/88888888/224/3221226744/1.m3u8
卫视频道,#genre#
湖南卫视,http://27.148.240.185/PLTV/88888888/224/3221227238/1.m3u8
湖南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227232/index.m3u8
浙江卫视,http://27.148.240.185/PLTV/88888888/224/3221227226/1.m3u8
浙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227193/index.m3u8
东方卫视,http://27.148.240.185/PLTV/88888888/224/3221227281/1.m3u8
东方卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227059/index.m3u8
北京卫视,http://27.148.240.185/PLTV/88888888/224/3221227234/1.m3u8
北京卫视,http://
江苏卫视,http://27.148.240.185/PLTV/88888888/224/3221227312/1.m3u8
江苏卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227160/index.m3u8
安徽卫视,http://27.148.240.185/PLTV/88888888/224/3221227301/1.m3u8
重庆卫视,http://27.148.240.185/PLTV/88888888/224/3221227293/1.m3u8
四川卫视,http://27.148.240.185/PLTV/88888888/224/3221227289/1.m3u8
深圳卫视,http://27.148.240.185/PLTV/88888888/224/3221227285/1.m3u8
广东卫视,http://27.148.240.185/PLTV/88888888/224/3221227218/1.m3u8
广西卫视,http://27.148.240.185/PLTV/88888888/224/3221227328/1.m3u8
甘肃卫视,http://27.148.240.185/PLTV/88888888/224/3221227246/1.m3u8
贵州卫视,http://27.148.240.185/PLTV/88888888/224/3221227277/1.m3u8
河北卫视,http://27.148.240.185/PLTV/88888888/224/3221227316/1.m3u8
河南卫视,http://27.148.240.185/PLTV/88888888/224/3221227308/1.m3u8
黑龙江卫视,http://27.148.240.185/PLTV/88888888/224/3221227319/1.m3u8
湖北卫视,http://27.148.240.185/PLTV/88888888/224/3221227230/1.m3u8
江西卫视,http://27.148.240.185/PLTV/88888888/224/3221227304/1.m3u8
吉林卫视,http://27.148.240.185/PLTV/88888888/224/3221227273/1.m3u8
内蒙古卫视,http://27.148.240.185/PLTV/88888888/224/3221227309/1.m3u8
辽宁卫视,http://27.148.240.185/PLTV/88888888/224/3221227242/1.m3u8
